Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQM6.CME@BMD,28225,CW 28225 | 75M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28175,CW 28175 | 64M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28155,CW 28155 | 181M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28125,CW 28125 | 131M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28075,CW 28075 | 114M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28065,CW 28065 | 107M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28055,CW 28055 | 67M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28045,CW 28045 | 128M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28035,CW 28035 | 66M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,28025,CW 28025 | 61M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27978,EM High 27978,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,27975,CW 27975 | 169M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27925,CW 27925 | 86M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27917,PDH 27917,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27917,PWH 27917,#ffffff,#333333,left,2,TRUE
NQM6.CME@BMD,27875,CW 27875 | 55M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27855,Vol High 27855,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,27845,CW 27845 | 52M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27835,PW 27835 | 42M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27825,PW 27825 | 90M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27815,PW 27815 | 48M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27795,PW 27795 | 34M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27783,ZG 27783,#000000,#FFD700,left,2,TRUE
NQM6.CME@BMD,27775,PW 27775 | 38M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27765,PW 27765 | 12M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27725,CW 27725 | 46M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27712,Vol Low 27712,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,27705,CW 27705 | 10M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27693,EM Low 27693,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,27625,PW 27625 | 52M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27585,CW 27585 | 11M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,27575,PW 27575 | 21M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27565,MaxPain 27565,#ffffff,#6600cc,left,2,TRUE
NQM6.CME@BMD,27555,PW 27555 | 14M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27545,PW 27545 | 12M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27536,PDL 27536,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27525,PW 27525 | 27M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,27010,PWL 27010,#ffffff,#333333,left,2,TRUE
