Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NQM6.CME@BMD,29978,CW 29978 | 93M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29958,CW 29958 | 19M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29908,CW 29908 | 69M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29858,CW 29858 | 33M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29818,CW 29818 | 26M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29808,CW 29808 | 41M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29768,CW 29768 | 153M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29748,CW 29748 | 36M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29738,CW 29738 | 34M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29708,CW 29708 | 53M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29676,EM High 29676,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,29658,CW 29658 | 28M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29608,CW 29608 | 44M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29598,CW 29598 | 17M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29588,CW 29588 | 16M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29566,PDH 29566,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,29558,CW 29558 | 30M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29535,Vol High 29535,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,29528,CW 29528 | 31M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29518,CW 29518 | 21M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29508,PW 29508 | 107M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29488,PW 29488 | 24M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29478,PW 29478 | 25M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29468,PW 29468 | 38M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29458,CW 29458 | 40M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29434,ZG 29434,#000000,#FFD700,left,2,TRUE
NQM6.CME@BMD,29408,PW 29408 | 50M,#ffffff,#006600,left,2,TRUE
NQM6.CME@BMD,29387,PWH 29387,#ffffff,#333333,left,2,TRUE
NQM6.CME@BMD,29334,Vol Low 29334,#000000,#99ccff,left,2,TRUE
NQM6.CME@BMD,29308,CW 29308 | 51M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29274,EM Low 29274,#000000,#00ccff,left,2,TRUE
NQM6.CME@BMD,29268,CW 29268 | 20M,#ffffff,#CC0000,left,2,TRUE
NQM6.CME@BMD,29178,MaxPain 29178,#ffffff,#6600cc,left,2,TRUE
NQM6.CME@BMD,29056,PDL 29056,#ffffff,#555555,left,2,TRUE
NQM6.CME@BMD,27613,PWL 27613,#ffffff,#333333,left,2,TRUE
